1,id,id
2,Płeć,gender
3,Rok.urodzenia,birth
4,Stan.cywilny,marital
5,Czy.mieszka.Pan..i.w.Warszawie.,Wwa
6,W.której.z.warszawskich.dzielnic.obecnie.Pan..i.mieszka.,district
7,Jak.długo.mieszka.Pan..i.w.Warszawie.,timeWwa
8,Czy.ma.Pan..i.dzieci.,children
9,Czy.posiada.Pan..i.psa.,dog
10,Jakie.posiada.Pan..i.wykształcenie,edu
11,Jaki.kierunek.Pan..i.studiuje..lub.studiował..a.,eduprog
12,Czy.obecnie.Pan..i.studiuje.lub.uczy.się.w.pełnym.wymiarze.,edutime
13,Czy.obecnie.Pan..i.pracuje.,work
14,Które.z.podanych.niżej.określeń.najlepiej.odpowiada.wymiarowi.wykonywanej.przez.Pana..ią.pracy.,worktime
15,Jaki.zawód.Pan..i.wykonuje.,occup
16,Jakie.jest.wykształcenie.Pana..i.ojca,fatheredu
17,Jakie.jest.wykształcenie.Pana..i.matki,motheredu
18,Proszę.wskazać.najwyższy.poziom.wykształcenia.otrzymany.przez.któregokolwiek.z.dziadków...babć,grandedu
19,Jakie.są.Pana..i.miesięczne.przychody.,income
20,Jak.ocena.Pan..i.swój.standard.życia,lifestd
21,Ile.posiada.Pan..i.samochodów.,cars
22,W.jakim.rodzaju.mieszkania..domu..Pan..i.mieszka.,hometype
23,Jaki.jest.status.mieszkania..domu...który.obecnie.Pan..i.zajmuje.,homestatus
24,Czy.posiada.Pan..i.telewizor.,tv
25,Czy.posiada.Pan..i.komputer.osobisty.,pc
26,Czy.posiada.Pan..i.tablet.,tablet
27,Jak.często.korzysta.Pan..i.z.internetu.,internet
28,W.jakim.celu.najczęściej.korzysta.Pan..i.z.internetu.,internetuse
29,Przeciętnie.ile.godzin.w.ciągu.normalnego.dnia.tygodnia.ogląda.Pan..i.telewizję.,tvtime
30,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Programy.rozrywkowe.lub.kanały.muzyczne.,tv.a1
31,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Programy.sportowe.,tv.a2
32,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Wiadomości.i.serwisy.informacyjne.,tv.a3
33,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Seriale.,tv.a4
34,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Programy.lokalne...wiadomości.z.miasta..regionu.itp..,tv.a5
35,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Programy.typu.reality.show.,tv.a6
36,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Filmy.,tv.a7
37,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.typy.programów.telewizyjnych...Programy.edukacyjne.lub.kulturalne.,tv.a8
38,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...TVP.,tv.b1
39,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...TVN.,tv.b2
40,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...Polsat.,tv.b3
41,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...TV.Trwam.,tv.b4
42,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...TVN24.,tv.b5
43,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...TV.Republika.,tv.b6
44,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...TVP.Historia.,tv.b7
45,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...TVN.Style.,tv.b8
46,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.kanały.telewizyjne...Polsat.Sport.,tv.b9
47,Jak.często.ogląda.Pan..i.filmy.,moviefreq
48,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Kino.artystyczne...eksperymentalne.,movie.a1
49,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Kreskówki...animacje.,movie.a2
50,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Dramaty.obyczajowe.,movie.a3
51,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Filmy.kostiumowe...kino.historyczne.,movie.a4
52,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Fantasy...science.fiction.,movie.a5
53,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Komedie.romantyczne.,movie.a6
54,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Musicale.,movie.a7
55,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Kryminały...film.noir.,movie.a8
56,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Komedie.,movie.a9
57,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.filmowe...Kino.akcji...kino.wojenne.,movie.a10
58,Ile.filmów.obejrzał..a.Pan..i.w.ciągu.ostatnich.trzydziestu.dni.,movie30
59,Jak.często.czyta.Pan..i.książki.,bookfreq
60,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Pamiętniki...biografie...książki.historyczne.,book.a1
61,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Literatura.fantasy...science.fiction.,book.a2
62,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Literaturę.przygodową...młodzieżową.,book.a3
63,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Literatura.piękna..klasyczny.kanon.literacki..,book.a4
64,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Literatura.współczesna.,book.a5
65,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Poradniki.,book.a6
66,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Poezja.,book.a7
67,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Powieści.kryminalne...sensacyjne.,book.a8
68,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Książki.naukowe...popularno.naukowe.,book.a9
69,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.książek...Książki.podróżnicze...przewodniki.,book.a10
70,Ile.książek.przeczytał..a.Pan..i.w.ciągu.ostatnich.12.miesięcy.,book12
71,Jak.często.czyta.Pan..i.prasę.,pressfreq
72,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.prasy...Prasę.popularno.naukową.,press.a1
73,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.prasy...Czasopisma.hobbystyczne...branżowe.,press.a2
74,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.prasy...Czasopisma.kulturalne.lifestyle.owe.,press.a3
75,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.prasy...Tygodniki.opinii.,press.a4
76,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.prasy...Prasę.lokalną.,press.a5
77,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.prasy...Prasa.codzienna.,press.a6
78,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.rodzaje.prasy...Tabloidy.,press.a7
79,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Newsweek.,press.b1
80,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Rzeczpospolita.,press.b2
81,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Focus.,press.b3
82,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Gazeta.Polska.,press.b4
83,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Do.Rzeczy.,press.b5
84,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Gazeta.Wyborcza.,press.b6
85,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Uważam.Rze.,press.b7
86,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Wprost.,press.b8
87,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Polityka.,press.b9
88,Jak.bardzo.lubi.Pan..i.wymienione.poniżej.tytuły.prasowe...Forbes.,press.b10
89,Jak.często.słucha.Pan..i.muzyki.,musicfreq
90,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.muzyczne...Indie.,music.a1
91,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.muzyczne...Heavy.Metal.,music.a2
92,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.muzyczne...Blues.,music.a3
93,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.muzyczne...House.,music.a4
94,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.muzyczne...Muzyka.elektroniczna.,music.a5
95,Jak.bardzo.lubi.Pan..i.wymienione.niżej.gatunki.muzyczne...Reggae.,music.a6
